     1	Fst.s1.adm	Fst.s2.adm	Fst.s1.s2	mean.ASD.s1.adm	var.ASD.s1.adm	mean.ASD.s2.adm	var.ASD.s2.adm	mean.ASD.s1.s2	var.ASD.s1.s2	f3	mean.ASD.s1	var.ASD.s1	mean.ASD.s2	var.ASD.s2	mean.ASD.adm	var.ASD.adm	mean.het.s1	var.het.s1	mean.het.s2	var.het.s2	mean.het.adm	var.het.adm	mean.F.s1	var.F.s1	mean.F.s2	var.F.s2	mean.F.adm	var.F.adm	mean.adm.props	var.adm.props	skew.adm.props	kurt.adm.props	mode.adm.props	mean.adm.angles	var.adm.angles	skew.adm.angles	kurt.adm.angles	mode.adm.angles	perc0.adm.props	perc10.adm.props	perc20.adm.props	perc30.adm.props	perc40.adm.props	perc50.adm.props	perc60.adm.props	perc70.adm.props	perc80.adm.props	perc90.adm.props	perc100.adm.props	perc0.adm.angles	perc10.adm.angles	perc20.adm.angles	perc30.adm.angles	perc40.adm.angles	perc50.adm.angles	perc60.adm.angles	perc70.adm.angles	perc80.adm.angles	perc90.adm.angles	perc100.adm.angles
     2	1.881622e-01	2.263419e-01	7.147602e-02	5.171680e-02	3.930589e-05	4.526880e-02	1.839558e-05	5.228800e-02	4.046821e-05	3.126671e-01	5.362000e-02	3.513940e-05	3.997333e-02	2.522337e-05	2.414667e-02	1.717574e-05	6.175020e-02	1.452151e-02	4.743837e-02	1.309240e-02	2.992816e-02	1.122002e-02	1.538787e-02	1.879492e-02	-5.093612e-03	2.380023e-02	2.945829e-03	4.872194e-02	4.716877e-01	1.041814e-02	3.469763e-01	-6.564240e-01	4.451446e-01	7.773533e-01	5.296710e-03	-3.817914e-01	1.719362e-01	7.590262e-01	2.935897e-01	3.503493e-01	3.963571e-01	4.385811e-01	4.430938e-01	4.523508e-01	4.651690e-01	5.111954e-01	5.465082e-01	6.314490e-01	6.722532e-01	5.828864e-01	6.962926e-01	7.355969e-01	7.434499e-01	7.543545e-01	7.814519e-01	7.968419e-01	8.085344e-01	8.241188e-01	8.756125e-01	9.060203e-01
     4	2.446078e-01	3.014325e-01	1.048132e-01	4.950720e-02	5.607727e-05	4.372640e-02	2.875355e-05	5.106720e-02	4.561727e-05	5.125505e-01	5.070667e-02	4.375982e-05	3.731333e-02	2.386805e-05	1.668667e-02	1.130618e-05	5.868898e-02	1.373411e-02	4.412735e-02	1.247646e-02	2.139918e-02	8.612588e-03	1.446574e-02	3.879925e-02	-7.399734e-04	3.747560e-02	-2.807660e-02	4.149151e-02	5.120276e-01	1.438444e-02	-3.767048e-01	-4.558437e-01	4.639872e-01	8.172996e-01	4.508813e-03	2.115951e-01	-5.636729e-01	7.982945e-01	2.109130e-01	3.872278e-01	4.194231e-01	4.387817e-01	4.784240e-01	5.077299e-01	5.530424e-01	5.824159e-01	6.276325e-01	6.681740e-01	6.806076e-01	6.960815e-01	7.450147e-01	7.729322e-01	7.809290e-01	7.931136e-01	8.108549e-01	8.208908e-01	8.418617e-01	8.738182e-01	9.011854e-01	9.561227e-01
     6	2.819213e-01	3.498194e-01	7.768431e-02	4.854400e-02	2.554654e-05	4.300320e-02	1.682691e-05	5.122400e-02	3.324782e-05	1.015258e+00	5.224000e-02	3.732682e-05	3.878000e-02	1.995144e-05	1.081333e-02	5.958350e-06	5.988245e-02	1.458605e-02	4.577143e-02	1.284357e-02	1.305469e-02	5.053355e-03	3.009979e-02	2.188939e-02	-1.498127e-03	2.735371e-02	4.402201e-02	1.472397e-01	5.656573e-01	5.917000e-03	-6.291334e-01	-1.521054e-01	5.816098e-01	7.742987e-01	2.705487e-03	1.573744e-01	-8.555564e-01	7.487029e-01	4.047208e-01	4.368225e-01	5.359030e-01	5.449823e-01	5.655573e-01	5.727789e-01	5.919638e-01	6.046338e-01	6.179993e-01	6.389735e-01	7.091602e-01	6.717593e-01	7.196281e-01	7.312220e-01	7.398623e-01	7.554917e-01	7.669051e-01	7.846719e-01	7.961325e-01	8.299088e-01	8.398000e-01	8.824282e-01
     8	3.357241e-01	3.225236e-01	8.668734e-02	5.724960e-02	2.946324e-05	4.595040e-02	2.233888e-05	5.104960e-02	2.872991e-05	7.932046e-01	5.080000e-02	3.291639e-05	3.853333e-02	1.919955e-05	1.636667e-02	1.120290e-05	5.935347e-02	1.384508e-02	4.573061e-02	1.302026e-02	2.003755e-02	8.066704e-03	-1.358860e-02	3.301508e-02	6.354873e-03	1.474689e-02	3.780657e-02	7.129868e-02	7.772804e-03	2.870139e-02	3.011661e-01	-1.059712e+00	-1.300839e-01	6.191583e-01	2.883631e-03	-6.136270e-01	1.209837e-02	6.322730e-01	-2.162910e-01	-1.985392e-01	-1.844546e-01	-1.129259e-01	-5.963088e-02	-2.857225e-02	6.492689e-02	1.035948e-01	1.759461e-01	2.043004e-01	3.795101e-01	4.840756e-01	5.592375e-01	5.841638e-01	5.994802e-01	6.094217e-01	6.273639e-01	6.367213e-01	6.498256e-01	6.539311e-01	6.866622e-01	7.016595e-01
    10	9.692940e-02	7.780098e-02	7.164863e-02	5.020960e-02	5.156978e-05	4.125280e-02	2.497766e-05	5.163200e-02	4.008872e-05	7.266276e-02	5.234667e-02	4.434096e-05	4.020667e-02	2.017788e-05	3.332667e-02	2.576584e-05	6.070694e-02	1.470439e-02	4.686531e-02	1.300056e-02	4.072490e-02	1.378881e-02	-2.151521e-04	1.898336e-02	2.529176e-02	2.802823e-02	-1.844131e-03	3.537296e-02	1.898592e-01	3.353585e-02	3.668607e-02	-1.011937e+00	2.574570e-01	1.118620e+00	1.149661e-01	1.310042e+00	1.063453e+00	8.852350e-01	-1.586797e-01	-3.880326e-02	2.955186e-02	8.898354e-02	1.071970e-01	2.011291e-01	2.477164e-01	2.924282e-01	3.419297e-01	4.364696e-01	5.132308e-01	7.519436e-01	8.112274e-01	8.595986e-01	8.906242e-01	9.381658e-01	1.092779e+00	1.115974e+00	1.191010e+00	1.292503e+00	1.549604e+00	2.080342e+00
    12	1.863750e-01	1.591879e-01	7.266790e-02	5.482560e-02	3.553845e-05	4.527200e-02	2.676885e-05	5.068640e-02	4.047842e-05	2.100391e-01	5.109333e-02	3.312838e-05	3.966000e-02	2.375023e-05	3.077333e-02	2.213574e-05	5.932245e-02	1.420399e-02	4.743837e-02	1.288410e-02	3.880327e-02	1.422667e-02	6.109811e-03	2.302827e-02	-3.207599e-02	3.067901e-02	-2.053267e-02	2.058852e-02	5.604693e-02	4.902810e-02	5.855828e-02	-8.609107e-01	1.191349e-01	7.116434e-01	2.308502e-02	1.803003e+00	4.850739e+00	6.989442e-01	-3.226360e-01	-2.228582e-01	-1.699052e-01	-5.937660e-02	4.501521e-02	9.381781e-02	1.249506e-01	1.664900e-01	1.867045e-01	3.439387e-01	4.904002e-01	5.107332e-01	5.569261e-01	6.117319e-01	6.420697e-01	6.696438e-01	6.963228e-01	7.210414e-01	7.407918e-01	7.756579e-01	8.424114e-01	1.272279e+00
    14	2.676373e-01	2.548115e-01	8.229627e-02	5.804800e-02	3.001372e-05	4.908160e-02	2.661352e-05	4.988480e-02	3.367902e-05	3.981535e-01	4.954667e-02	3.149280e-05	3.831333e-02	2.091153e-05	2.676667e-02	1.813935e-05	5.775020e-02	1.293848e-02	4.585469e-02	1.347682e-02	3.377633e-02	1.303827e-02	-1.125184e-02	2.028933e-02	2.065086e-03	4.269527e-02	-8.990719e-03	2.409920e-02	8.930468e-02	2.432908e-02	4.112197e-01	-7.392118e-01	1.054814e-03	6.020959e-01	2.886857e-03	8.800886e-01	-4.473558e-01	5.735291e-01	-1.698047e-01	-8.482189e-02	-4.623695e-02	-3.158720e-02	2.732976e-02	9.855488e-02	1.171131e-01	1.546469e-01	2.095088e-01	2.828831e-01	4.136764e-01	5.315229e-01	5.579850e-01	5.637482e-01	5.647257e-01	5.689904e-01	5.890822e-01	5.981058e-01	6.074225e-01	6.404067e-01	6.977491e-01	7.179605e-01
    16	1.465565e-01	2.000181e-01	8.398519e-02	5.085120e-02	4.394737e-05	4.839040e-02	2.832170e-05	4.928320e-02	4.004307e-05	1.938169e-01	4.888000e-02	3.719625e-05	3.822667e-02	3.038992e-05	3.250667e-02	2.065882e-05	5.671020e-02	1.349802e-02	4.616653e-02	1.346042e-02	3.981878e-02	1.395539e-02	-2.994098e-03	3.390083e-02	-1.025568e-02	3.060973e-02	9.512485e-03	3.290582e-02	6.716386e-01	2.142671e-02	-7.184767e-01	8.526253e-01	7.016601e-01	7.641725e-01	1.635858e-02	7.239830e-01	1.443054e-01	6.969966e-01	2.581933e-01	4.925595e-01	5.887055e-01	6.350093e-01	6.552099e-01	6.858204e-01	7.196432e-01	7.340011e-01	7.532904e-01	8.374640e-01	9.438275e-01	5.283044e-01	6.590448e-01	6.717792e-01	6.861139e-01	7.003098e-01	7.171277e-01	7.612555e-01	8.216366e-01	8.626342e-01	9.364646e-01	1.106592e+00
    18	2.597551e-01	3.161912e-01	8.304239e-02	5.165440e-02	3.164639e-05	4.904320e-02	2.935230e-05	5.022720e-02	3.977202e-05	5.617014e-01	4.918000e-02	4.351264e-05	3.964000e-02	3.249204e-05	1.984000e-02	1.408134e-05	5.749061e-02	1.403150e-02	4.628408e-02	1.310758e-02	2.389388e-02	8.516602e-03	-8.860364e-03	2.460791e-02	3.379308e-02	2.923452e-02	2.569183e-02	6.298635e-02	6.227484e-01	1.172143e-02	-3.188935e-01	-9.188826e-01	6.007511e-01	6.680177e-01	4.163324e-03	3.819750e-01	-1.820297e-01	6.759583e-01	3.971133e-01	4.962320e-01	5.327035e-01	5.812292e-01	5.930550e-01	6.117783e-01	6.658281e-01	7.064740e-01	7.151242e-01	7.627108e-01	7.761894e-01	5.506352e-01	5.927980e-01	6.068748e-01	6.283652e-01	6.547285e-01	6.704681e-01	6.838312e-01	7.019993e-01	7.085068e-01	7.459916e-01	8.309386e-01
    20	7.808758e-03	7.947863e-02	8.675275e-02	5.112640e-02	3.777086e-05	5.159520e-02	5.113555e-05	5.053280e-02	3.245445e-05	1.163104e-02	4.899333e-02	2.567889e-05	3.957333e-02	2.509494e-05	5.204667e-02	5.194430e-05	5.655673e-02	1.358901e-02	4.681469e-02	1.348175e-02	6.056980e-02	1.400236e-02	5.600300e-03	1.597750e-02	-1.394992e-03	2.632457e-02	-1.304617e-02	1.896403e-02	7.488855e-01	5.159567e-02	-1.369917e+00	1.002023e+00	8.785094e-01	1.426680e+00	6.200295e-01	5.080800e-01	-1.160170e+00	9.038420e-01	1.436090e-01	4.687804e-01	6.274421e-01	6.836481e-01	7.861506e-01	8.334616e-01	8.673617e-01	8.868481e-01	9.334921e-01	9.456290e-01	9.561135e-01	3.726137e-01	5.902641e-01	7.452792e-01	9.402296e-01	1.007770e+00	1.115865e+00	1.541190e+00	1.855203e+00	2.133283e+00	2.656603e+00	2.896895e+00
