     1	Fst.s1.adm	Fst.s2.adm	Fst.s1.s2	mean.ASD.s1.adm	var.ASD.s1.adm	mean.ASD.s2.adm	var.ASD.s2.adm	mean.ASD.s1.s2	var.ASD.s1.s2	f3	mean.ASD.s1	var.ASD.s1	mean.ASD.s2	var.ASD.s2	mean.ASD.adm	var.ASD.adm	mean.het.s1	var.het.s1	mean.het.s2	var.het.s2	mean.het.adm	var.het.adm	mean.F.s1	var.F.s1	mean.F.s2	var.F.s2	mean.F.adm	var.F.adm	mean.adm.props	var.adm.props	skew.adm.props	kurt.adm.props	mode.adm.props	mean.adm.angles	var.adm.angles	skew.adm.angles	kurt.adm.angles	mode.adm.angles	perc0.adm.props	perc10.adm.props	perc20.adm.props	perc30.adm.props	perc40.adm.props	perc50.adm.props	perc60.adm.props	perc70.adm.props	perc80.adm.props	perc90.adm.props	perc100.adm.props	perc0.adm.angles	perc10.adm.angles	perc20.adm.angles	perc30.adm.angles	perc40.adm.angles	perc50.adm.angles	perc60.adm.angles	perc70.adm.angles	perc80.adm.angles	perc90.adm.angles	perc100.adm.angles
     2	4.631769e-02	2.365225e-02	8.912107e-02	4.982080e-02	3.811527e-05	4.106400e-02	2.807603e-05	5.165280e-02	3.643535e-05	-4.733030e-03	5.190000e-02	3.662542e-05	3.788000e-02	2.481498e-05	4.038000e-02	4.003572e-05	5.984816e-02	1.445272e-02	4.629878e-02	1.370435e-02	4.846531e-02	1.425798e-02	9.493412e-03	3.572503e-02	-4.365611e-02	2.980688e-02	-5.255179e-03	3.858283e-02	3.154247e-01	3.558694e-02	-1.102321e-01	-8.142527e-01	3.392193e-01	1.769963e+00	3.344038e-01	4.516505e-01	-1.227036e+00	1.440805e+00	-7.895546e-02	8.163690e-02	1.420352e-01	2.333971e-01	2.945550e-01	3.240330e-01	3.569031e-01	4.157262e-01	4.735865e-01	5.580185e-01	6.741982e-01	9.684037e-01	1.163647e+00	1.225155e+00	1.464221e+00	1.502097e+00	1.618064e+00	1.710796e+00	2.129954e+00	2.420966e+00	2.615635e+00	2.841392e+00
     4	6.354124e-02	2.327752e-02	9.068478e-02	5.090720e-02	3.724458e-05	4.353280e-02	3.424932e-05	5.153440e-02	3.018511e-05	6.510008e-03	4.979333e-02	3.476651e-05	4.031333e-02	3.374096e-05	4.280000e-02	4.268227e-05	5.743184e-02	1.361114e-02	4.720327e-02	1.335915e-02	5.203918e-02	1.456913e-02	4.036729e-03	2.486042e-02	2.040675e-02	1.994481e-02	-4.844074e-02	3.797529e-02	2.004511e-01	5.674353e-02	-1.636486e-01	-6.054287e-01	2.365365e-01	1.818536e+00	6.626227e-01	1.434804e-01	-1.466225e+00	1.282075e+00	-2.957599e-01	-1.246631e-01	9.961984e-03	8.799334e-02	1.452469e-01	2.396632e-01	2.513165e-01	3.193551e-01	3.878921e-01	4.614286e-01	6.676562e-01	6.129062e-01	8.249802e-01	1.018578e+00	1.296699e+00	1.424039e+00	1.702266e+00	1.950108e+00	2.439270e+00	2.764386e+00	2.909341e+00	3.132403e+00
     6	3.297242e-02	7.292579e-02	9.050260e-02	5.228800e-02	3.933679e-05	4.863040e-02	3.086157e-05	5.124480e-02	3.015953e-05	1.729766e-02	5.080667e-02	3.472504e-05	3.875333e-02	3.060785e-05	4.794667e-02	4.037173e-05	5.890122e-02	1.424752e-02	4.560163e-02	1.303417e-02	5.601796e-02	1.473084e-02	1.801702e-02	2.372392e-02	2.635065e-02	3.157797e-02	1.888607e-02	2.667506e-02	6.179027e-01	6.657820e-02	-2.459592e-01	-8.014367e-01	5.710096e-01	1.330062e+00	4.351689e-01	7.750319e-01	2.159984e-01	1.054744e+00	3.234798e-02	3.101813e-01	4.287630e-01	4.957706e-01	5.189942e-01	6.248551e-01	6.735279e-01	7.437188e-01	9.059782e-01	9.444305e-01	9.936932e-01	8.587004e-02	7.368889e-01	8.735562e-01	9.736556e-01	1.121569e+00	1.143364e+00	1.223085e+00	1.447499e+00	1.780867e+00	2.212968e+00	3.013192e+00
     8	2.949574e-02	6.770651e-02	8.002120e-02	5.254720e-02	4.813599e-05	4.814560e-02	3.451883e-05	5.131360e-02	3.802329e-05	1.785714e-02	5.218667e-02	4.499514e-05	3.907333e-02	2.317855e-05	4.751333e-02	4.447139e-05	6.039837e-02	1.481550e-02	4.555918e-02	1.246038e-02	5.700571e-02	1.527615e-02	1.189382e-02	2.500757e-02	2.193155e-02	2.304832e-02	-3.568565e-02	3.109257e-02	6.265619e-01	8.582551e-02	-9.182921e-01	3.714464e-01	7.544796e-01	1.312870e+00	3.195151e-01	1.255964e+00	9.912999e-01	1.045439e+00	-1.728233e-01	2.869557e-01	4.581133e-01	5.439533e-01	5.996997e-01	6.601866e-01	7.567396e-01	8.006114e-01	8.750560e-01	9.659293e-01	9.838132e-01	7.094385e-01	7.369908e-01	8.423750e-01	1.049917e+00	1.080170e+00	1.130797e+00	1.262716e+00	1.530429e+00	1.617747e+00	1.913756e+00	2.833567e+00
    10	9.195722e-02	2.716353e-02	9.376964e-02	5.100640e-02	3.138137e-05	4.149600e-02	2.348115e-05	5.184320e-02	3.559717e-05	2.291270e-02	4.963333e-02	3.508250e-05	4.047333e-02	3.406952e-05	3.903333e-02	3.112932e-05	5.909061e-02	1.436437e-02	4.702204e-02	1.305603e-02	4.802612e-02	1.410424e-02	-4.111292e-02	1.797405e-02	3.874865e-02	2.336724e-02	-5.942344e-02	3.296180e-02	6.507766e-02	1.840153e-02	-1.142418e-01	-9.030046e-01	-3.523144e-03	1.304080e+00	4.249040e-01	2.841666e-01	6.844183e-02	1.150275e+00	-2.363714e-01	-8.168632e-02	-4.693166e-02	-2.078376e-02	1.273735e-02	5.179528e-02	9.721007e-02	1.701891e-01	1.944761e-01	2.338057e-01	2.842529e-01	6.806572e-02	5.059686e-01	9.894367e-01	1.057771e+00	1.103016e+00	1.261201e+00	1.432514e+00	1.549417e+00	1.630102e+00	2.037162e+00	2.734575e+00
    12	1.089344e-01	1.970501e-02	8.425202e-02	5.201920e-02	3.768873e-05	3.981440e-02	2.746229e-05	5.022720e-02	4.049317e-05	3.817325e-02	5.011333e-02	3.278310e-05	3.856000e-02	2.778569e-05	3.841333e-02	3.284531e-05	5.774204e-02	1.385403e-02	4.523265e-02	1.285459e-02	4.574204e-02	1.362327e-02	1.215823e-02	3.080452e-02	1.487096e-02	2.256769e-02	4.854196e-03	3.875735e-02	-1.088628e-01	2.922756e-02	-6.959079e-01	1.119313e+00	-1.243874e-01	9.428555e-01	2.987877e-01	1.505552e+00	2.497835e+00	7.273899e-01	-6.155172e-01	-2.460342e-01	-2.329240e-01	-1.756199e-01	-1.390328e-01	-9.144601e-02	-8.651288e-02	-1.697043e-02	1.519709e-02	7.638296e-02	1.975172e-01	2.137690e-01	4.339091e-01	5.715203e-01	6.375716e-01	7.328424e-01	8.628902e-01	9.523519e-01	1.005568e+00	1.205930e+00	1.609440e+00	2.745416e+00
    14	6.012467e-02	2.922532e-02	8.727465e-02	4.853440e-02	3.889986e-05	4.011360e-02	2.922586e-05	4.965600e-02	3.579333e-05	7.917027e-03	4.984000e-02	4.690408e-05	3.766000e-02	1.957632e-05	3.888000e-02	3.733672e-05	5.821551e-02	1.367758e-02	4.507755e-02	1.273994e-02	4.722449e-02	1.400272e-02	-1.828533e-02	2.782298e-02	-1.868888e-02	2.763799e-02	-3.505618e-02	4.275941e-02	2.442663e-01	4.623525e-02	-1.068670e-01	-9.932271e-01	2.336942e-01	1.819169e+00	5.224625e-01	1.889637e-01	-1.318659e+00	1.371997e+00	-1.756055e-01	-2.273031e-02	6.869549e-02	1.313804e-01	1.956411e-01	2.253831e-01	3.027366e-01	3.152069e-01	4.876167e-01	5.053039e-01	6.022558e-01	6.099478e-01	9.682795e-01	1.171832e+00	1.371866e+00	1.449215e+00	1.705843e+00	1.941381e+00	2.214164e+00	2.660078e+00	2.709118e+00	3.103245e+00
    16	3.700474e-02	4.509809e-02	6.859538e-02	4.871680e-02	3.192768e-05	4.388640e-02	3.452714e-05	4.878880e-02	3.264122e-05	1.543690e-02	4.934667e-02	3.129748e-05	3.840667e-02	2.286417e-05	4.277333e-02	3.992838e-05	5.866939e-02	1.423008e-02	4.615184e-02	1.314256e-02	5.140082e-02	1.463515e-02	-2.949770e-02	1.462287e-02	-1.231074e-02	4.286088e-02	-2.877744e-02	3.823807e-02	5.211914e-01	6.218732e-02	1.112358e-01	-9.659727e-01	5.453328e-01	1.465505e+00	3.241889e-01	1.306208e+00	1.395069e+00	1.354368e+00	1.168093e-01	2.075571e-01	2.506264e-01	3.987103e-01	4.733820e-01	5.044113e-01	5.870084e-01	6.394463e-01	7.020332e-01	8.538518e-01	9.827986e-01	6.222784e-01	9.657120e-01	1.101896e+00	1.211930e+00	1.291727e+00	1.374747e+00	1.393632e+00	1.472534e+00	1.614487e+00	2.261525e+00	3.134571e+00
    18	2.976838e-02	8.065095e-02	8.742865e-02	4.966400e-02	2.929397e-05	4.749600e-02	2.194910e-05	5.139360e-02	2.326150e-05	1.980244e-02	5.055333e-02	2.913093e-05	3.936667e-02	2.281494e-05	4.424000e-02	3.388201e-05	5.854694e-02	1.407431e-02	4.701878e-02	1.329704e-02	5.272490e-02	1.374280e-02	-2.955940e-03	2.585568e-02	1.250043e-03	3.137978e-02	-2.873599e-02	4.248571e-02	7.086140e-01	3.138912e-02	-7.115063e-01	-4.275747e-01	8.158796e-01	1.388634e+00	2.076431e-01	1.897040e+00	4.310070e+00	1.180915e+00	2.895235e-01	4.450684e-01	5.888768e-01	6.274806e-01	7.017812e-01	7.536803e-01	7.861382e-01	8.383049e-01	8.504311e-01	8.821391e-01	9.757125e-01	9.283318e-01	9.755315e-01	1.038352e+00	1.119792e+00	1.209264e+00	1.283759e+00	1.386103e+00	1.471182e+00	1.650478e+00	1.705817e+00	3.034679e+00
    20	9.976758e-02	1.672082e-02	7.547826e-02	5.140320e-02	3.680191e-05	3.986080e-02	2.540527e-05	4.905280e-02	3.420714e-05	3.580731e-02	4.938000e-02	2.926649e-05	3.840667e-02	2.408825e-05	3.933333e-02	3.071126e-05	5.718204e-02	1.393768e-02	4.596245e-02	1.294872e-02	4.700898e-02	1.399844e-02	1.787346e-02	3.455068e-02	-1.648196e-02	3.074962e-02	4.445525e-03	4.525206e-02	-1.991947e-01	5.368111e-02	1.927772e-01	-3.491560e-01	-2.545361e-01	9.033427e-01	4.000047e-01	1.137237e+00	2.366044e-01	6.030809e-01	-6.762045e-01	-4.751085e-01	-3.487297e-01	-3.220557e-01	-2.798544e-01	-2.224607e-01	-1.578488e-01	-1.231077e-01	2.701834e-02	5.799912e-02	3.403389e-01	8.936467e-02	3.179707e-01	4.984521e-01	5.537445e-01	6.126690e-01	6.885951e-01	8.235055e-01	9.293509e-01	1.322254e+00	1.906148e+00	2.430484e+00
