     1	Fst.s1.adm	Fst.s2.adm	Fst.s1.s2	mean.ASD.s1.adm	var.ASD.s1.adm	mean.ASD.s2.adm	var.ASD.s2.adm	mean.ASD.s1.s2	var.ASD.s1.s2	f3	mean.ASD.s1	var.ASD.s1	mean.ASD.s2	var.ASD.s2	mean.ASD.adm	var.ASD.adm	mean.het.s1	var.het.s1	mean.het.s2	var.het.s2	mean.het.adm	var.het.adm	mean.F.s1	var.F.s1	mean.F.s2	var.F.s2	mean.F.adm	var.F.adm	mean.adm.props	var.adm.props	skew.adm.props	kurt.adm.props	mode.adm.props	mean.adm.angles	var.adm.angles	skew.adm.angles	kurt.adm.angles	mode.adm.angles	perc0.adm.props	perc10.adm.props	perc20.adm.props	perc30.adm.props	perc40.adm.props	perc50.adm.props	perc60.adm.props	perc70.adm.props	perc80.adm.props	perc90.adm.props	perc100.adm.props	perc0.adm.angles	perc10.adm.angles	perc20.adm.angles	perc30.adm.angles	perc40.adm.angles	perc50.adm.angles	perc60.adm.angles	perc70.adm.angles	perc80.adm.angles	perc90.adm.angles	perc100.adm.angles
     2	1.251457e-01	1.048800e-01	8.137048e-02	5.425440e-02	2.902973e-05	4.528640e-02	2.378163e-05	5.126560e-02	3.356396e-05	1.012424e-01	5.166667e-02	3.156076e-05	3.888000e-02	2.262769e-05	3.700667e-02	2.795982e-05	6.011918e-02	1.435868e-02	4.655347e-02	1.303363e-02	4.638694e-02	1.477432e-02	-4.670994e-03	1.724623e-02	-2.419864e-02	3.117350e-02	-5.546952e-02	2.372025e-02	2.190666e-01	3.452175e-02	8.146447e-01	4.997378e-01	1.431696e-01	8.675522e-01	1.817742e-02	1.021366e-01	-9.901387e-01	8.170433e-01	-6.179124e-02	6.020660e-03	6.492104e-02	1.207560e-01	1.380223e-01	2.221234e-01	2.584192e-01	2.878732e-01	3.569575e-01	3.902018e-01	7.399258e-01	6.180698e-01	7.071284e-01	7.718133e-01	7.877360e-01	8.218054e-01	8.427899e-01	8.810700e-01	9.577628e-01	9.900706e-01	1.066902e+00	1.102539e+00
     4	6.528015e-02	1.448181e-01	6.713271e-02	4.954240e-02	3.875181e-05	4.988000e-02	4.006731e-05	5.029600e-02	3.297474e-05	9.544301e-02	5.050667e-02	2.973574e-05	4.034000e-02	3.173017e-05	3.894667e-02	3.784330e-05	5.924245e-02	1.355253e-02	4.846857e-02	1.334850e-02	4.761469e-02	1.457701e-02	-1.818883e-02	3.283122e-02	-2.499411e-02	3.869115e-02	-3.161432e-02	4.617820e-02	8.383199e-01	2.162979e-02	-1.302587e+00	1.322662e+00	9.327956e-01	7.869620e-01	3.568070e-02	1.262552e-01	-1.150295e+00	7.204913e-01	4.025915e-01	6.900420e-01	7.673150e-01	7.912198e-01	8.081914e-01	8.944915e-01	9.082615e-01	9.391198e-01	9.528285e-01	9.798198e-01	9.879683e-01	4.619485e-01	5.401831e-01	6.283708e-01	6.738535e-01	6.995463e-01	7.853262e-01	8.227022e-01	8.902445e-01	9.662818e-01	1.045060e+00	1.127100e+00
     6	1.341391e-01	2.207445e-01	7.889401e-02	5.172320e-02	3.771653e-05	5.126560e-02	2.729152e-05	5.002880e-02	2.755045e-05	2.033542e-01	5.000667e-02	2.944477e-05	3.891333e-02	2.949079e-05	3.337333e-02	2.161935e-05	5.809469e-02	1.448860e-02	4.607510e-02	1.292377e-02	4.117878e-02	1.464246e-02	1.264649e-02	2.535511e-02	1.629992e-03	2.889109e-02	1.427325e-03	4.345916e-02	8.663020e-01	7.791051e-03	4.000580e-02	-1.487907e+00	8.093595e-01	6.932688e-01	8.381554e-03	1.309062e+00	1.569980e+00	6.574061e-01	7.198872e-01	7.615263e-01	7.892889e-01	8.096387e-01	8.247779e-01	8.470117e-01	8.942492e-01	9.501456e-01	9.602415e-01	9.795303e-01	9.943521e-01	5.480248e-01	6.120799e-01	6.466448e-01	6.502163e-01	6.542600e-01	6.667262e-01	6.749662e-01	7.067107e-01	7.363352e-01	8.101914e-01	9.696935e-01
     8	2.082872e-01	2.266295e-01	6.441814e-02	5.931360e-02	4.540470e-05	5.390720e-02	3.720291e-05	4.903200e-02	3.679064e-05	2.720493e-01	4.935333e-02	3.412223e-05	3.973333e-02	2.604905e-05	3.598667e-02	2.305668e-05	5.745143e-02	1.426674e-02	4.605714e-02	1.310729e-02	4.553796e-02	1.643563e-02	1.273125e-02	2.452838e-02	4.466501e-02	4.289902e-02	-3.298437e-02	1.609357e-02	2.734005e-01	6.890241e-02	-3.921234e-01	-7.224745e-01	3.415003e-01	5.332177e-01	5.146361e-03	-2.880652e-02	-1.603038e+00	6.049073e-01	-2.427724e-01	-1.119770e-01	6.809257e-02	1.712363e-01	2.601154e-01	3.101713e-01	3.559244e-01	4.052179e-01	4.593258e-01	5.895600e-01	6.919423e-01	4.272758e-01	4.400343e-01	4.568806e-01	4.789660e-01	5.064739e-01	5.274499e-01	5.557826e-01	5.961667e-01	6.093177e-01	6.217880e-01	6.328426e-01
    10	6.705262e-02	1.051929e-01	1.034492e-01	5.170880e-02	3.766827e-05	4.921760e-02	3.014168e-05	5.293920e-02	3.730399e-05	4.630710e-02	5.054667e-02	4.124531e-05	4.061333e-02	2.697373e-05	4.300667e-02	3.713708e-05	5.806204e-02	1.327299e-02	4.720000e-02	1.310092e-02	5.179265e-02	1.435289e-02	9.335545e-03	2.751542e-02	2.372881e-02	3.194125e-02	-2.408347e-02	2.126391e-02	6.189938e-01	2.798215e-02	6.514159e-02	-1.248255e+00	5.847264e-01	1.163186e+00	3.841475e-02	2.669453e-01	-7.370593e-02	1.120426e+00	3.652217e-01	3.781493e-01	4.957711e-01	5.314100e-01	5.571669e-01	6.210275e-01	6.401362e-01	6.819286e-01	8.104676e-01	8.534309e-01	8.755397e-01	7.892319e-01	9.523291e-01	1.050420e+00	1.071803e+00	1.102779e+00	1.128599e+00	1.200968e+00	1.228522e+00	1.313961e+00	1.406802e+00	1.648954e+00
    12	1.060199e-01	1.230331e-01	7.541455e-02	5.612960e-02	5.275081e-05	5.068320e-02	3.924884e-05	5.156160e-02	4.783314e-05	1.003307e-01	5.195333e-02	3.771019e-05	3.979333e-02	3.393708e-05	4.290667e-02	3.960999e-05	5.934694e-02	1.403110e-02	4.793143e-02	1.298599e-02	5.282122e-02	1.712433e-02	4.022008e-02	2.906633e-02	-3.481164e-02	2.785731e-02	-1.019998e-02	1.525881e-02	4.576886e-01	4.645323e-02	-1.320073e-01	-2.821313e-01	4.540224e-01	8.292510e-01	3.495803e-02	6.536081e-01	-1.817768e-01	7.881235e-01	-6.681965e-03	1.765244e-01	3.319108e-01	3.797969e-01	4.152469e-01	4.631636e-01	5.009108e-01	5.674057e-01	6.114549e-01	7.064341e-01	9.174855e-01	5.525140e-01	6.253734e-01	6.661875e-01	7.241639e-01	7.598200e-01	8.204414e-01	8.476714e-01	8.942305e-01	9.745431e-01	1.068097e+00	1.307951e+00
    14	1.526144e-01	1.119117e-01	8.699195e-02	5.163840e-02	4.334981e-05	4.272800e-02	2.532654e-05	5.074720e-02	3.707381e-05	1.306381e-01	4.944667e-02	4.135835e-05	3.930000e-02	1.806355e-05	3.151333e-02	2.447808e-05	5.871184e-02	1.371913e-02	4.665796e-02	1.356144e-02	3.840490e-02	1.224800e-02	-4.510442e-02	2.724238e-02	-4.758905e-03	3.063592e-02	-1.862007e-02	2.691190e-02	1.736924e-01	1.323732e-02	-4.332920e-02	-5.926426e-01	1.276328e-01	9.219049e-01	3.191116e-02	1.305874e+00	2.757617e+00	1.008264e+00	-9.189365e-02	5.012826e-02	7.588739e-02	1.076779e-01	1.352872e-01	1.814139e-01	1.958464e-01	2.329474e-01	2.780888e-01	3.294697e-01	3.734997e-01	6.705336e-01	7.390934e-01	7.897338e-01	8.158379e-01	8.384023e-01	8.804619e-01	9.895611e-01	1.001021e+00	1.015652e+00	1.067355e+00	1.526981e+00
    16	1.987795e-01	2.771674e-01	9.164379e-02	5.400320e-02	3.181089e-05	5.177760e-02	2.729501e-05	4.992800e-02	3.694513e-05	3.243119e-01	4.991333e-02	3.357775e-05	3.765333e-02	3.120384e-05	2.951333e-02	1.908009e-05	5.797551e-02	1.403254e-02	4.475918e-02	1.306662e-02	3.547102e-02	1.256358e-02	-1.802309e-03	1.264246e-02	-2.699252e-03	2.646854e-02	4.823714e-02	4.035416e-02	7.179037e-01	2.306936e-02	3.017222e-01	-7.975332e-01	6.484938e-01	6.591496e-01	5.900095e-03	9.508676e-01	3.060095e-01	6.567991e-01	4.625845e-01	5.639405e-01	6.057401e-01	6.093427e-01	6.628971e-01	7.077194e-01	7.477359e-01	7.944361e-01	8.148370e-01	9.574672e-01	9.986863e-01	5.631598e-01	5.796653e-01	5.953545e-01	6.038939e-01	6.315845e-01	6.536635e-01	6.650225e-01	6.798599e-01	6.934493e-01	7.494809e-01	8.537227e-01
    18	1.282129e-01	9.670152e-02	9.117130e-02	4.993920e-02	2.658925e-05	4.106240e-02	3.164193e-05	5.140800e-02	3.764897e-05	9.509267e-02	5.103333e-02	3.617280e-05	3.883333e-02	2.635340e-05	3.164667e-02	2.697173e-05	5.911184e-02	1.375209e-02	4.525061e-02	1.276107e-02	3.875918e-02	1.308018e-02	1.215268e-03	2.147553e-02	4.178092e-02	4.602421e-02	-1.137321e-02	3.838624e-02	2.962341e-01	2.345217e-02	2.371993e-01	-8.367958e-01	2.285314e-01	1.102338e+00	5.005114e-02	8.868659e-01	2.944125e-01	1.055343e+00	-4.758350e-03	1.261807e-01	1.644771e-01	2.152800e-01	2.426902e-01	2.540625e-01	3.319923e-01	3.737071e-01	4.161102e-01	5.235198e-01	5.731904e-01	8.087845e-01	8.424781e-01	9.096423e-01	1.015638e+00	1.032144e+00	1.046405e+00	1.100577e+00	1.142967e+00	1.235127e+00	1.432918e+00	1.708435e+00
    20	3.362328e-02	1.304673e-01	7.377434e-02	4.773280e-02	3.873458e-05	4.796960e-02	3.424106e-05	5.050560e-02	3.434652e-05	6.052265e-02	5.105333e-02	3.324798e-05	3.950667e-02	3.224410e-05	3.954000e-02	3.534622e-05	5.879510e-02	1.387917e-02	4.648163e-02	1.294418e-02	4.804408e-02	1.442048e-02	9.441297e-03	1.902688e-02	5.198455e-03	2.056891e-02	-1.739899e-02	2.427253e-02	8.543892e-01	1.033596e-02	-6.268874e-01	-8.131460e-01	9.117094e-01	8.615131e-01	3.506369e-02	1.000136e-01	-1.522638e-01	8.548752e-01	6.504451e-01	6.965730e-01	7.566737e-01	8.184389e-01	8.580910e-01	8.717577e-01	9.100238e-01	9.128481e-01	9.393703e-01	9.680045e-01	9.967135e-01	4.851153e-01	6.260622e-01	7.342165e-01	7.837755e-01	8.240915e-01	8.666707e-01	8.925878e-01	9.455368e-01	1.019024e+00	1.059666e+00	1.312565e+00
