     1	Fst.s1.adm	Fst.s2.adm	Fst.s1.s2	mean.ASD.s1.adm	var.ASD.s1.adm	mean.ASD.s2.adm	var.ASD.s2.adm	mean.ASD.s1.s2	var.ASD.s1.s2	f3	mean.ASD.s1	var.ASD.s1	mean.ASD.s2	var.ASD.s2	mean.ASD.adm	var.ASD.adm	mean.het.s1	var.het.s1	mean.het.s2	var.het.s2	mean.het.adm	var.het.adm	mean.F.s1	var.F.s1	mean.F.s2	var.F.s2	mean.F.adm	var.F.adm	mean.adm.props	var.adm.props	skew.adm.props	kurt.adm.props	mode.adm.props	mean.adm.angles	var.adm.angles	skew.adm.angles	kurt.adm.angles	mode.adm.angles	perc0.adm.props	perc10.adm.props	perc20.adm.props	perc30.adm.props	perc40.adm.props	perc50.adm.props	perc60.adm.props	perc70.adm.props	perc80.adm.props	perc90.adm.props	perc100.adm.props	perc0.adm.angles	perc10.adm.angles	perc20.adm.angles	perc30.adm.angles	perc40.adm.angles	perc50.adm.angles	perc60.adm.angles	perc70.adm.angles	perc80.adm.angles	perc90.adm.angles	perc100.adm.angles
     2	3.372438e-02	6.320780e-02	7.054206e-02	5.174560e-02	4.077332e-05	4.875200e-02	3.986628e-05	5.049440e-02	3.944909e-05	2.351906e-02	5.033333e-02	3.689855e-05	4.052667e-02	2.859795e-05	4.744667e-02	3.691019e-05	5.790204e-02	1.452409e-02	4.801633e-02	1.324373e-02	5.567347e-02	1.410564e-02	2.594107e-02	1.998421e-02	-6.324379e-03	3.392946e-02	-5.865103e-03	2.796118e-02	6.482885e-01	2.994326e-02	-2.849780e-01	-1.313289e+00	7.843185e-01	1.217373e+00	1.890601e-01	2.474644e+00	7.651601e+00	1.006028e+00	2.939648e-01	4.409871e-01	4.792710e-01	5.303733e-01	5.727609e-01	7.064773e-01	7.164665e-01	7.924602e-01	8.107276e-01	8.504072e-01	8.897687e-01	7.892975e-01	8.446079e-01	9.151509e-01	9.939844e-01	1.062967e+00	1.093339e+00	1.277662e+00	1.339363e+00	1.409514e+00	1.504986e+00	2.966364e+00
     4	3.533301e-02	4.332361e-02	7.318473e-02	5.040640e-02	3.592432e-05	4.500960e-02	3.169542e-05	5.073120e-02	3.809750e-05	1.113989e-02	5.061333e-02	3.433159e-05	3.962000e-02	2.810930e-05	4.431333e-02	3.339313e-05	5.876082e-02	1.418189e-02	4.741224e-02	1.280769e-02	5.232163e-02	1.415534e-02	4.778973e-03	3.091953e-02	-3.601928e-02	3.382088e-02	-4.555809e-03	2.295480e-02	4.777283e-01	4.718837e-02	-1.784472e-01	-1.296815e+00	6.357601e-01	1.637394e+00	3.645302e-01	7.377425e-01	-4.292456e-01	1.192828e+00	7.422292e-02	1.888152e-01	2.682238e-01	3.366932e-01	3.943629e-01	4.947765e-01	5.908845e-01	6.320954e-01	6.729782e-01	7.257307e-01	8.338261e-01	9.356908e-01	9.770293e-01	1.095701e+00	1.195291e+00	1.311906e+00	1.573268e+00	1.717097e+00	1.886407e+00	2.008141e+00	2.505776e+00	3.027266e+00
     6	1.791090e-02	7.805560e-02	8.618477e-02	4.891680e-02	2.971422e-05	4.782880e-02	2.931519e-05	5.082240e-02	2.827129e-05	1.346848e-02	4.959333e-02	2.541266e-05	3.973333e-02	2.114604e-05	4.490667e-02	3.582404e-05	5.666286e-02	1.372315e-02	4.718367e-02	1.317506e-02	5.291265e-02	1.399588e-02	3.711174e-02	3.047330e-02	-1.391003e-02	3.232869e-02	6.171125e-04	1.441558e-02	7.807485e-01	2.496493e-02	-4.327893e-01	-1.056033e+00	8.951327e-01	1.587160e+00	3.999584e-01	9.804568e-01	5.708793e-02	1.175750e+00	4.741082e-01	5.561062e-01	6.589468e-01	6.846908e-01	7.652932e-01	7.908208e-01	8.528647e-01	8.955748e-01	9.335595e-01	9.665627e-01	9.842184e-01	8.487061e-01	9.443999e-01	1.116560e+00	1.159666e+00	1.209610e+00	1.414088e+00	1.645442e+00	1.803343e+00	1.951803e+00	2.408981e+00	3.131850e+00
     8	7.302643e-02	1.117074e-02	7.420405e-02	5.063520e-02	2.649171e-05	4.055360e-02	2.776034e-05	5.044960e-02	2.511965e-05	1.544522e-02	5.047333e-02	2.024343e-05	3.963333e-02	2.636678e-05	4.003333e-02	2.048718e-05	5.859592e-02	1.405767e-02	4.694041e-02	1.295374e-02	4.725061e-02	1.349345e-02	-7.578713e-03	2.107870e-02	-7.234531e-03	2.736375e-02	1.292284e-02	2.265201e-02	-8.986405e-03	3.870324e-02	1.983136e-01	-4.586591e-01	-2.477204e-02	1.214632e+00	5.444076e-01	3.319286e-01	-6.883471e-01	1.268182e+00	-3.925940e-01	-2.626220e-01	-1.442128e-01	-1.142537e-01	-6.219105e-02	-2.186387e-02	4.939936e-02	7.095216e-02	1.120224e-01	2.579816e-01	4.312934e-01	7.980251e-02	2.751898e-01	5.127781e-01	8.264405e-01	1.034194e+00	1.113104e+00	1.442089e+00	1.553596e+00	1.682271e+00	2.236525e+00	2.832404e+00
    10	9.678761e-02	1.952345e-02	7.952607e-02	5.159360e-02	3.571919e-05	3.913440e-02	2.797229e-05	5.128160e-02	2.753916e-05	3.216448e-02	5.203333e-02	3.037347e-05	3.878667e-02	1.797440e-05	3.721333e-02	3.269681e-05	5.980245e-02	1.406586e-02	4.610286e-02	1.335983e-02	4.502367e-02	1.346138e-02	1.408720e-02	1.604250e-02	3.966287e-03	1.795365e-02	-1.102368e-02	4.016843e-02	-4.835576e-02	5.207873e-02	-4.042922e-01	5.098976e-01	-7.049750e-02	1.057485e+00	3.643819e-01	9.069284e-01	5.447717e-01	9.023785e-01	-6.720194e-01	-2.995911e-01	-1.983356e-01	-1.289140e-01	-9.721764e-02	-5.188269e-02	-1.948260e-02	5.426046e-02	1.627893e-01	1.767300e-01	4.193246e-01	1.297777e-01	4.623080e-01	6.491422e-01	7.474332e-01	8.524263e-01	9.583750e-01	1.114449e+00	1.248820e+00	1.286413e+00	1.809497e+00	2.639300e+00
    12	7.602616e-02	1.813292e-02	6.764989e-02	4.932000e-02	3.819872e-05	3.913440e-02	2.739537e-05	4.981440e-02	3.301357e-05	2.482479e-02	5.094000e-02	3.418368e-05	3.869333e-02	2.381200e-05	3.698000e-02	2.688254e-05	5.880327e-02	1.450856e-02	4.594776e-02	1.256069e-02	4.426122e-02	1.297658e-02	1.638115e-02	1.146386e-02	-8.101482e-03	2.963249e-02	-4.942826e-03	6.266283e-02	-1.044586e-02	5.034680e-02	-6.529896e-01	2.664775e-01	5.026291e-02	1.592898e+00	8.392101e-01	5.954616e-02	-1.443779e+00	8.526258e-01	-5.985936e-01	-2.897374e-01	-1.495828e-01	-1.164838e-01	-1.995046e-02	1.420390e-02	6.271554e-02	1.019590e-01	1.678096e-01	2.032657e-01	4.136712e-01	7.189669e-02	4.935752e-01	7.231767e-01	8.947195e-01	1.194939e+00	1.544596e+00	1.978813e+00	2.242028e+00	2.394691e+00	2.811648e+00	3.126996e+00
    14	1.510421e-02	7.960930e-02	8.809938e-02	5.278240e-02	3.463847e-05	5.112320e-02	3.325563e-05	5.144160e-02	3.004186e-05	1.353818e-02	5.148667e-02	3.467875e-05	3.894000e-02	3.209003e-05	5.112000e-02	2.933672e-05	5.953959e-02	1.422372e-02	4.612408e-02	1.290572e-02	5.903184e-02	1.508229e-02	3.016343e-03	1.247968e-02	-7.787335e-04	2.662366e-02	2.561053e-02	1.848813e-02	8.190409e-01	1.850014e-02	-4.237632e-01	-7.952066e-01	9.139980e-01	1.401746e+00	5.588019e-01	5.893467e-01	-3.423473e-01	1.314235e+00	4.978882e-01	6.495940e-01	7.016854e-01	7.400871e-01	7.947723e-01	8.188609e-01	8.728109e-01	9.171082e-01	9.474030e-01	9.835340e-01	9.987018e-01	7.188268e-02	6.574957e-01	7.337684e-01	1.029117e+00	1.179620e+00	1.355194e+00	1.408173e+00	1.526067e+00	1.943042e+00	2.541869e+00	2.999772e+00
    16	1.967664e-02	7.899234e-02	8.400055e-02	5.113920e-02	3.331232e-05	4.963680e-02	3.811627e-05	4.940000e-02	2.723077e-05	1.797924e-02	4.904667e-02	2.356303e-05	3.721333e-02	2.444263e-05	4.942000e-02	4.157552e-05	5.841469e-02	1.431443e-02	4.450612e-02	1.286608e-02	5.897959e-02	1.608158e-02	-3.398642e-02	1.455529e-02	-6.603081e-03	3.012259e-02	3.321799e-04	2.195524e-02	7.969781e-01	1.721971e-02	-6.405077e-01	-4.562479e-01	8.643037e-01	1.284843e+00	3.824527e-01	8.479256e-01	1.029507e+00	1.324588e+00	4.810866e-01	6.126787e-01	6.984881e-01	7.424058e-01	7.826701e-01	8.229924e-01	8.367099e-01	9.029564e-01	9.226898e-01	9.274834e-01	9.958329e-01	3.025149e-02	7.463671e-01	8.204160e-01	9.223194e-01	1.101249e+00	1.238240e+00	1.354841e+00	1.427049e+00	1.605399e+00	1.800524e+00	2.875885e+00
    18	7.045202e-02	8.943082e-03	8.103329e-02	4.881440e-02	3.081486e-05	3.892320e-02	2.383063e-05	5.063360e-02	2.995688e-05	6.912278e-03	5.038000e-02	3.031666e-05	3.941333e-02	2.598243e-05	3.724667e-02	2.193895e-05	5.848980e-02	1.367807e-02	4.657143e-02	1.331898e-02	4.582204e-02	1.388094e-02	-8.039079e-03	3.518601e-02	1.963190e-03	4.261458e-02	-3.356374e-02	5.425007e-02	1.078480e-01	3.674761e-02	-3.589390e-03	-7.373783e-01	1.425398e-01	1.813220e+00	7.211062e-01	-3.557948e-01	-9.998149e-01	2.205790e+00	-2.198220e-01	-1.510165e-01	-7.542223e-02	2.018093e-02	1.072223e-01	1.232145e-01	1.482283e-01	1.964828e-01	2.918050e-01	3.126942e-01	5.276436e-01	5.491173e-02	7.776830e-01	9.554041e-01	1.371897e+00	1.757971e+00	2.002064e+00	2.149059e+00	2.238792e+00	2.555836e+00	2.827271e+00	3.123894e+00
    20	6.880428e-02	4.543065e-02	9.441589e-02	5.522560e-02	3.721665e-05	4.766240e-02	2.964065e-05	5.220960e-02	3.766914e-05	2.148989e-02	5.100667e-02	3.420731e-05	3.987333e-02	2.536183e-05	4.858667e-02	2.863795e-05	5.964571e-02	1.453996e-02	4.632163e-02	1.287642e-02	5.724571e-02	1.553387e-02	-9.963595e-03	1.951872e-02	3.284929e-02	3.044858e-02	6.388501e-03	3.103177e-02	2.558744e-01	4.888032e-02	-4.756639e-01	-1.522655e-01	2.816354e-01	1.246677e+00	9.470774e-02	4.214165e-01	-1.682629e-02	1.144015e+00	-2.718926e-01	-1.160157e-02	1.246026e-01	1.637757e-01	2.461550e-01	2.768392e-01	3.117342e-01	3.292925e-01	4.120296e-01	5.406574e-01	6.308901e-01	6.071494e-01	9.407942e-01	1.047272e+00	1.126622e+00	1.135591e+00	1.155077e+00	1.251977e+00	1.371457e+00	1.419954e+00	1.664756e+00	1.951137e+00
