     1	Fst.s1.adm	Fst.s2.adm	Fst.s1.s2	mean.ASD.s1.adm	var.ASD.s1.adm	mean.ASD.s2.adm	var.ASD.s2.adm	mean.ASD.s1.s2	var.ASD.s1.s2	f3	mean.ASD.s1	var.ASD.s1	mean.ASD.s2	var.ASD.s2	mean.ASD.adm	var.ASD.adm	mean.het.s1	var.het.s1	mean.het.s2	var.het.s2	mean.het.adm	var.het.adm	mean.F.s1	var.F.s1	mean.F.s2	var.F.s2	mean.F.adm	var.F.adm	mean.adm.props	var.adm.props	skew.adm.props	kurt.adm.props	mode.adm.props	mean.adm.angles	var.adm.angles	skew.adm.angles	kurt.adm.angles	mode.adm.angles	perc0.adm.props	perc10.adm.props	perc20.adm.props	perc30.adm.props	perc40.adm.props	perc50.adm.props	perc60.adm.props	perc70.adm.props	perc80.adm.props	perc90.adm.props	perc100.adm.props	perc0.adm.angles	perc10.adm.angles	perc20.adm.angles	perc30.adm.angles	perc40.adm.angles	perc50.adm.angles	perc60.adm.angles	perc70.adm.angles	perc80.adm.angles	perc90.adm.angles	perc100.adm.angles
     2	4.259972e-02	1.128305e-01	7.947790e-02	4.980800e-02	3.406244e-05	5.000960e-02	3.350632e-05	4.914880e-02	3.134802e-05	5.185486e-02	4.876000e-02	3.081846e-05	3.822000e-02	3.083438e-05	4.459333e-02	2.848290e-05	5.712490e-02	1.382576e-02	4.716898e-02	1.377893e-02	5.232816e-02	1.472050e-02	-1.251822e-02	2.144281e-02	-5.323457e-02	2.826778e-02	1.085770e-02	2.085527e-02	8.131732e-01	1.575461e-02	-2.995704e-01	-1.319119e+00	9.050709e-01	8.939700e-01	3.435882e-02	-5.523882e-02	-6.951432e-01	9.385705e-01	5.985793e-01	6.283282e-01	6.951239e-01	7.304914e-01	7.874544e-01	8.342252e-01	8.705594e-01	9.121010e-01	9.275725e-01	9.601102e-01	9.882765e-01	5.106467e-01	6.588282e-01	7.079851e-01	8.049334e-01	8.738767e-01	9.142916e-01	9.522543e-01	9.798846e-01	1.019699e+00	1.104952e+00	1.254670e+00
     4	1.654010e-01	1.632592e-01	6.129566e-02	5.226560e-02	2.329473e-05	4.391680e-02	3.087768e-05	4.934400e-02	2.697923e-05	2.069567e-01	5.174667e-02	2.539380e-05	3.785333e-02	2.531621e-05	2.900000e-02	1.866221e-05	5.977306e-02	1.438047e-02	4.572571e-02	1.290883e-02	3.651755e-02	1.310780e-02	1.360247e-02	2.398853e-02	-3.399150e-02	1.863365e-02	-4.059552e-02	5.249220e-02	2.779947e-01	4.339814e-02	-5.886429e-01	-4.096825e-01	3.121095e-01	7.089586e-01	1.417824e-02	1.183802e-01	-1.355354e+00	6.421427e-01	-1.819556e-01	-1.812988e-02	1.120672e-01	2.419354e-01	2.708928e-01	3.102205e-01	3.452835e-01	4.062432e-01	4.264244e-01	5.072058e-01	6.382972e-01	5.017812e-01	5.647008e-01	6.158881e-01	6.284163e-01	6.517148e-01	6.880548e-01	7.341857e-01	7.994066e-01	8.362924e-01	8.730580e-01	8.922361e-01
     6	1.958755e-01	1.523724e-01	8.480844e-02	5.207520e-02	3.689017e-05	4.279680e-02	2.338653e-05	5.162720e-02	4.420214e-05	2.178206e-01	5.072667e-02	5.085480e-05	4.028000e-02	3.020896e-05	2.583333e-02	1.584504e-05	5.810612e-02	1.359720e-02	4.758041e-02	1.347548e-02	3.299102e-02	1.257435e-02	1.972464e-02	2.183046e-02	9.676423e-03	1.326328e-02	-2.088385e-02	5.227209e-02	1.546364e-01	2.146566e-02	-7.359553e-01	-2.471433e-01	2.049114e-01	8.271967e-01	1.203236e-02	4.539277e-01	-3.621394e-01	8.449264e-01	-1.586694e-01	-7.095151e-02	5.826772e-02	9.695473e-02	1.709839e-01	1.872300e-01	1.996050e-01	2.177186e-01	2.648730e-01	3.188097e-01	3.854804e-01	6.762293e-01	6.908687e-01	6.992687e-01	7.681148e-01	7.970973e-01	8.211176e-01	8.562020e-01	8.708165e-01	9.161090e-01	9.567817e-01	1.102815e+00
     8	2.012487e-01	2.281118e-01	7.418300e-02	5.038400e-02	4.276577e-05	4.440960e-02	3.692170e-05	5.122560e-02	4.686409e-05	3.418873e-01	5.135333e-02	4.299179e-05	4.036000e-02	3.404388e-05	2.169333e-02	1.535046e-05	5.952816e-02	1.394334e-02	4.746286e-02	1.336938e-02	2.719837e-02	1.065736e-02	1.760785e-02	2.627082e-02	2.070792e-02	3.555401e-02	8.764031e-03	3.249741e-02	4.208519e-01	2.913451e-02	4.702150e-01	-3.647522e-01	3.550497e-01	7.719423e-01	1.319095e-02	2.055578e-01	-7.092560e-01	7.924301e-01	1.302161e-01	2.214614e-01	2.721793e-01	3.333918e-01	3.652807e-01	3.771396e-01	4.368366e-01	5.327251e-01	5.697242e-01	6.062533e-01	8.464663e-01	5.888545e-01	6.187201e-01	6.539039e-01	7.114881e-01	7.630742e-01	7.771497e-01	7.993440e-01	8.106718e-01	8.625188e-01	9.120450e-01	1.030550e+00
    10	1.516603e-01	1.535826e-01	8.168470e-02	4.920000e-02	3.115385e-05	4.396960e-02	2.982439e-05	5.026080e-02	3.933412e-05	1.662036e-01	4.938000e-02	3.905913e-05	4.026667e-02	2.450390e-05	2.973333e-02	4.111260e-05	5.672816e-02	1.434036e-02	4.666939e-02	1.283153e-02	3.701878e-02	1.155737e-02	2.693835e-02	1.916254e-02	2.805667e-02	2.367887e-02	-6.324424e-02	1.050115e-01	4.171238e-01	4.839548e-02	-5.388055e-01	1.838866e-01	4.288941e-01	8.955133e-01	4.908478e-02	8.066951e-01	-1.561148e-01	7.649045e-01	-1.660733e-01	2.046999e-01	2.277249e-01	3.532326e-01	3.789123e-01	4.100025e-01	4.969986e-01	5.202756e-01	5.755694e-01	6.852134e-01	8.007527e-01	5.875037e-01	6.600256e-01	7.187352e-01	7.407120e-01	8.011290e-01	8.488653e-01	9.162151e-01	9.578116e-01	1.032835e+00	1.229963e+00	1.460876e+00
    12	2.938701e-01	3.267025e-01	7.142337e-02	5.290240e-02	4.043437e-05	4.718880e-02	1.656686e-05	4.890080e-02	3.645809e-05	6.962333e-01	4.934667e-02	4.313026e-05	3.861333e-02	1.781654e-05	1.780667e-02	1.778190e-05	5.876571e-02	1.409817e-02	4.681633e-02	1.308585e-02	2.180245e-02	7.204377e-03	-4.278491e-02	2.479482e-02	-4.749782e-02	3.180385e-02	-2.740752e-02	1.150038e-01	3.678399e-01	1.144019e-02	6.881921e-02	-1.205276e+00	3.288849e-01	5.964989e-01	2.313554e-03	6.391702e-01	-7.857788e-01	5.669819e-01	1.961065e-01	2.255694e-01	2.766018e-01	3.018336e-01	3.355062e-01	3.492212e-01	3.942931e-01	4.408095e-01	4.659137e-01	5.088122e-01	5.504831e-01	5.225242e-01	5.525360e-01	5.592177e-01	5.634939e-01	5.680795e-01	5.889382e-01	5.929441e-01	6.180956e-01	6.436341e-01	6.609880e-01	7.010968e-01
    14	2.347614e-01	2.729278e-01	8.683763e-02	5.266400e-02	3.578436e-05	4.590880e-02	2.251571e-05	5.068480e-02	5.598863e-05	4.048368e-01	5.207333e-02	5.942604e-05	3.664667e-02	2.930618e-05	2.284000e-02	1.377365e-05	5.966367e-02	1.348743e-02	4.508082e-02	1.289049e-02	2.906286e-02	1.016008e-02	1.313485e-02	3.044031e-02	-4.345937e-02	3.429974e-02	-7.628785e-02	4.494171e-02	4.904591e-01	1.661396e-02	3.573792e-01	-3.644056e-02	4.542934e-01	7.305153e-01	4.593625e-03	1.267756e-02	-1.131872e+00	7.228531e-01	2.588860e-01	3.367517e-01	4.077650e-01	4.214552e-01	4.430336e-01	4.891920e-01	5.144959e-01	5.715580e-01	5.877111e-01	6.176095e-01	8.212650e-01	6.122869e-01	6.443977e-01	6.675150e-01	6.913497e-01	7.182151e-01	7.320084e-01	7.379658e-01	7.705093e-01	7.928485e-01	8.267451e-01	8.408307e-01
    16	1.878184e-01	1.947752e-01	8.183818e-02	5.593120e-02	5.022763e-05	4.856960e-02	4.215581e-05	5.202720e-02	4.160984e-05	2.307361e-01	5.234667e-02	4.074230e-05	4.020000e-02	2.175920e-05	3.176000e-02	3.992214e-05	5.947429e-02	1.345122e-02	4.706776e-02	1.330806e-02	3.981224e-02	1.352768e-02	3.151422e-02	2.534968e-02	2.608485e-02	1.969871e-02	-3.485749e-02	4.437393e-02	3.060072e-01	3.480598e-02	-5.567792e-01	-4.428488e-01	3.240049e-01	7.402810e-01	3.981550e-02	1.553571e+00	2.581527e+00	6.631014e-01	-1.110893e-01	5.974266e-02	2.022735e-01	2.565251e-01	2.798936e-01	3.269209e-01	3.702438e-01	3.985791e-01	4.473301e-01	5.403640e-01	5.813844e-01	4.790449e-01	5.882140e-01	6.147901e-01	6.287087e-01	6.689703e-01	6.936115e-01	7.165529e-01	7.783700e-01	8.097640e-01	9.594964e-01	1.394122e+00
    18	1.325951e-01	1.103632e-01	7.449223e-02	5.057600e-02	3.246256e-05	4.230080e-02	3.431322e-05	4.985600e-02	3.184462e-05	1.212611e-01	4.988667e-02	2.632825e-05	3.904667e-02	2.314163e-05	3.244667e-02	2.326470e-05	5.733061e-02	1.395378e-02	4.591837e-02	1.274122e-02	3.891755e-02	1.273542e-02	2.460487e-02	2.236015e-02	8.675556e-03	3.687936e-02	7.131770e-03	3.273084e-02	2.111758e-01	1.785562e-02	-2.864291e-01	-9.492449e-01	2.801633e-01	9.224951e-01	4.224938e-02	8.277688e-01	-2.440550e-01	8.100926e-01	-9.219360e-02	5.703179e-02	8.672088e-02	1.031127e-01	1.869534e-01	2.209697e-01	2.606679e-01	2.937851e-01	3.460923e-01	3.777775e-01	4.014672e-01	6.502121e-01	7.288341e-01	7.448643e-01	7.849589e-01	8.201949e-01	8.765135e-01	8.899245e-01	9.996063e-01	1.123368e+00	1.206427e+00	1.456737e+00
    20	7.941699e-02	1.615569e-01	9.158797e-02	5.042720e-02	3.374830e-05	4.809280e-02	2.915163e-05	5.015840e-02	3.218160e-05	9.838415e-02	5.042000e-02	3.855211e-05	3.670000e-02	1.764883e-05	3.844000e-02	2.521043e-05	5.877224e-02	1.456283e-02	4.374694e-02	1.205058e-02	4.728653e-02	1.536011e-02	3.611312e-03	4.453738e-02	-1.858556e-02	2.604250e-02	-3.245520e-03	2.676188e-02	7.708618e-01	1.577372e-02	-1.913778e-01	-5.772151e-01	8.183988e-01	9.330420e-01	2.881667e-02	9.756170e-01	1.187419e+00	9.433075e-01	4.861535e-01	6.292858e-01	6.786877e-01	6.934619e-01	7.384293e-01	7.899542e-01	8.196344e-01	8.471752e-01	8.598705e-01	9.221800e-01	9.972188e-01	6.665135e-01	7.584981e-01	8.021877e-01	8.300114e-01	8.917269e-01	9.319968e-01	9.531817e-01	9.890767e-01	1.027540e+00	1.119287e+00	1.443609e+00
