     1	Fst.s1.adm	Fst.s2.adm	Fst.s1.s2	mean.ASD.s1.adm	var.ASD.s1.adm	mean.ASD.s2.adm	var.ASD.s2.adm	mean.ASD.s1.s2	var.ASD.s1.s2	f3	mean.ASD.s1	var.ASD.s1	mean.ASD.s2	var.ASD.s2	mean.ASD.adm	var.ASD.adm	mean.het.s1	var.het.s1	mean.het.s2	var.het.s2	mean.het.adm	var.het.adm	mean.F.s1	var.F.s1	mean.F.s2	var.F.s2	mean.F.adm	var.F.adm	mean.adm.props	var.adm.props	skew.adm.props	kurt.adm.props	mode.adm.props	mean.adm.angles	var.adm.angles	skew.adm.angles	kurt.adm.angles	mode.adm.angles	perc0.adm.props	perc10.adm.props	perc20.adm.props	perc30.adm.props	perc40.adm.props	perc50.adm.props	perc60.adm.props	perc70.adm.props	perc80.adm.props	perc90.adm.props	perc100.adm.props	perc0.adm.angles	perc10.adm.angles	perc20.adm.angles	perc30.adm.angles	perc40.adm.angles	perc50.adm.angles	perc60.adm.angles	perc70.adm.angles	perc80.adm.angles	perc90.adm.angles	perc100.adm.angles
     2	3.793525e-01	3.836124e-01	7.725802e-02	5.505920e-02	2.723207e-05	4.584160e-02	2.628416e-05	5.190240e-02	3.559783e-05	1.738356e+00	5.148667e-02	3.154163e-05	4.102667e-02	2.567153e-05	8.606667e-03	5.302965e-06	5.945469e-02	1.417968e-02	4.773388e-02	1.310087e-02	1.030531e-02	3.633561e-03	1.235721e-02	1.507650e-02	2.626808e-02	2.213130e-02	6.337136e-03	1.139995e-01	1.128790e-01	5.077262e-03	-5.379003e-02	-1.179448e+00	1.159518e-01	6.302047e-01	1.034724e-03	3.293961e-02	-4.148894e-01	6.397628e-01	-1.979591e-02	2.744079e-02	4.596075e-02	6.432496e-02	9.539592e-02	1.145522e-01	1.313706e-01	1.446608e-01	1.873046e-01	2.076043e-01	2.246106e-01	5.655521e-01	5.881511e-01	5.954440e-01	6.196631e-01	6.262979e-01	6.334431e-01	6.386815e-01	6.466029e-01	6.523971e-01	6.582638e-01	6.973077e-01
     4	3.529394e-01	4.030098e-01	7.019636e-02	5.451840e-02	2.406737e-05	4.950240e-02	2.124719e-05	5.102880e-02	4.400237e-05	1.329079e+00	5.079333e-02	3.904745e-05	4.065333e-02	2.269547e-05	1.136667e-02	7.978818e-06	5.963429e-02	1.454374e-02	4.763592e-02	1.311200e-02	1.432816e-02	5.672474e-03	-6.132618e-03	1.912128e-02	1.754807e-02	3.363916e-02	-5.013674e-03	1.380119e-01	4.329784e-01	6.773100e-03	-5.927558e-01	2.029683e-01	4.360141e-01	5.970606e-01	1.191072e-03	-7.998133e-02	-8.722742e-01	5.873371e-01	2.112250e-01	3.462570e-01	3.773299e-01	4.038613e-01	4.198040e-01	4.363114e-01	4.570998e-01	4.602879e-01	5.091596e-01	5.384259e-01	5.575358e-01	5.238742e-01	5.527386e-01	5.719276e-01	5.811831e-01	5.855033e-01	5.950741e-01	6.004542e-01	6.186095e-01	6.315149e-01	6.423119e-01	6.537179e-01
     6	3.702390e-01	4.055431e-01	7.591159e-02	5.703520e-02	2.469427e-05	4.861600e-02	2.959910e-05	5.050880e-02	3.307404e-05	1.347520e+00	5.140000e-02	4.058194e-05	3.857333e-02	2.632571e-05	1.182667e-02	8.438082e-06	5.994612e-02	1.427348e-02	4.529143e-02	1.286406e-02	1.448163e-02	5.499454e-03	-7.571425e-03	1.753147e-02	9.084027e-03	3.689993e-02	2.773393e-02	1.374546e-01	2.060650e-01	9.420201e-03	-3.187177e-01	-9.950716e-01	2.510643e-01	5.672062e-01	1.562740e-03	5.742872e-01	1.810221e-04	5.551923e-01	3.755992e-02	5.765563e-02	9.845863e-02	1.754554e-01	1.980201e-01	2.339710e-01	2.531979e-01	2.634102e-01	2.811553e-01	2.912853e-01	3.749659e-01	5.088177e-01	5.142830e-01	5.397855e-01	5.491396e-01	5.548037e-01	5.579774e-01	5.685801e-01	5.867690e-01	6.019223e-01	6.106067e-01	6.728270e-01
     8	4.240714e-01	4.597228e-01	7.302189e-02	5.697600e-02	2.231513e-05	4.830880e-02	2.297661e-05	4.931040e-02	3.645478e-05	2.402084e+00	5.060667e-02	2.954377e-05	3.803333e-02	2.712932e-05	6.966667e-03	4.333333e-06	5.824816e-02	1.360925e-02	4.450286e-02	1.263351e-02	9.320816e-03	3.587918e-03	1.524792e-02	2.718660e-02	1.489471e-02	3.196492e-02	-1.243650e-01	1.507101e-01	1.166896e-01	9.002041e-03	3.317603e-01	-1.114421e-01	1.356493e-01	5.205824e-01	3.404483e-04	1.151852e-01	-7.179941e-01	5.190057e-01	-5.328796e-02	7.375007e-03	3.391230e-02	6.401983e-02	9.396865e-02	1.271474e-01	1.366107e-01	1.584582e-01	1.805629e-01	2.221565e-01	3.591784e-01	4.843424e-01	4.982483e-01	5.060608e-01	5.115967e-01	5.161013e-01	5.208793e-01	5.231711e-01	5.281549e-01	5.385553e-01	5.436755e-01	5.561460e-01
    10	4.138071e-01	4.050139e-01	7.533599e-02	6.191840e-02	2.282186e-05	5.115040e-02	2.537798e-05	5.040320e-02	2.357755e-05	1.400010e+00	4.997333e-02	2.779193e-05	3.944667e-02	2.482992e-05	1.273333e-02	8.216276e-06	5.898122e-02	1.433761e-02	4.800327e-02	1.338617e-02	1.613224e-02	6.287594e-03	-1.456015e-02	2.212650e-02	-3.992926e-02	2.437168e-02	-3.643356e-02	6.644910e-02	-1.720468e-01	9.275250e-03	5.936641e-01	-9.371491e-01	-2.343744e-01	4.903063e-01	9.715308e-04	1.230247e-01	-1.243256e+00	4.732890e-01	-3.060396e-01	-2.639112e-01	-2.461354e-01	-2.368001e-01	-2.326597e-01	-2.096140e-01	-1.689400e-01	-1.168534e-01	-8.717975e-02	-3.369858e-02	3.238632e-02	4.391737e-01	4.534114e-01	4.663183e-01	4.705383e-01	4.768953e-01	4.836606e-01	4.991582e-01	5.080875e-01	5.230366e-01	5.336254e-01	5.431772e-01
    12	3.888482e-01	4.733928e-01	7.502902e-02	5.814880e-02	4.199225e-05	5.354720e-02	2.455586e-05	5.336960e-02	4.330388e-05	2.288971e+00	5.429333e-02	4.468959e-05	4.002000e-02	3.270194e-05	8.140000e-03	5.211104e-06	6.272490e-02	1.463663e-02	4.777959e-02	1.322522e-02	9.991837e-03	4.186898e-03	3.904318e-03	2.450853e-02	-1.633350e-02	3.161491e-02	3.921569e-02	1.869718e-01	5.952045e-01	3.687607e-03	1.510514e-01	-1.251087e+00	5.539907e-01	5.779995e-01	5.502620e-04	-2.155401e-01	-3.377950e-01	5.766352e-01	4.835641e-01	5.342068e-01	5.413288e-01	5.493107e-01	5.671225e-01	5.879299e-01	6.110075e-01	6.343389e-01	6.548667e-01	6.809957e-01	6.959209e-01	5.236655e-01	5.534067e-01	5.586578e-01	5.671540e-01	5.739655e-01	5.775861e-01	5.825449e-01	5.908023e-01	5.981417e-01	6.053361e-01	6.260443e-01
    14	3.311851e-01	3.270813e-01	8.109779e-02	5.046240e-02	2.467847e-05	4.017600e-02	2.454269e-05	5.122720e-02	3.150278e-05	1.305373e+00	5.230000e-02	3.356856e-05	3.809333e-02	2.373039e-05	8.520000e-03	6.792241e-06	5.969796e-02	1.345789e-02	4.651102e-02	1.364757e-02	1.045224e-02	4.074752e-03	3.380282e-02	1.830232e-02	-3.889357e-02	1.982796e-02	2.030615e-02	1.108168e-01	2.304885e-01	9.094675e-03	-4.928795e-01	-7.137247e-01	2.566460e-01	7.652618e-01	2.208370e-03	-6.856479e-02	-1.044737e+00	7.947138e-01	2.937034e-02	1.122508e-01	1.446507e-01	2.039496e-01	2.323863e-01	2.483871e-01	2.532636e-01	2.748062e-01	3.224335e-01	3.404643e-01	3.722798e-01	6.790213e-01	7.019763e-01	7.196975e-01	7.370786e-01	7.559650e-01	7.633249e-01	7.903037e-01	7.933779e-01	8.094562e-01	8.164926e-01	8.605081e-01
    16	3.620691e-01	4.523147e-01	7.438220e-02	5.524800e-02	3.071244e-05	5.412640e-02	2.594393e-05	4.870880e-02	3.297917e-05	1.328942e+00	4.880000e-02	3.442809e-05	3.794000e-02	2.445793e-05	1.333333e-02	9.627648e-06	5.728653e-02	1.391680e-02	4.508571e-02	1.304249e-02	1.629714e-02	6.172340e-03	-1.385089e-02	2.412130e-02	4.562738e-03	2.674247e-02	1.823282e-02	4.769133e-02	8.142161e-01	1.146553e-02	-2.376885e-01	1.043306e-01	7.696837e-01	5.129445e-01	1.255009e-03	1.915163e-01	-1.140355e+00	4.913575e-01	5.294036e-01	7.282544e-01	7.486215e-01	7.584043e-01	7.687936e-01	7.934374e-01	8.297597e-01	8.582554e-01	9.074577e-01	9.706871e-01	9.875978e-01	4.537786e-01	4.697585e-01	4.824054e-01	4.900360e-01	4.966548e-01	5.081798e-01	5.234276e-01	5.396932e-01	5.464840e-01	5.500044e-01	5.822585e-01
    18	3.272792e-01	4.575019e-01	8.239714e-02	4.707520e-02	1.889337e-05	4.803520e-02	4.154684e-05	4.941760e-02	4.224681e-05	2.226145e+00	4.909333e-02	4.136919e-05	3.853333e-02	2.765440e-05	6.066667e-03	4.196210e-06	5.724082e-02	1.381429e-02	4.575020e-02	1.295476e-02	7.768163e-03	3.115582e-03	-3.479749e-03	2.864022e-02	-7.208622e-03	3.176816e-02	-5.044136e-02	1.873691e-01	9.684129e-01	6.008120e-04	-1.170123e+00	7.836968e-01	9.749513e-01	6.357046e-01	2.972789e-04	5.418127e-02	-8.093864e-01	6.403280e-01	9.015463e-01	9.389519e-01	9.566015e-01	9.641059e-01	9.692732e-01	9.715857e-01	9.763256e-01	9.851442e-01	9.888997e-01	9.890825e-01	9.985446e-01	6.035087e-01	6.143122e-01	6.184208e-01	6.276749e-01	6.318553e-01	6.352928e-01	6.422021e-01	6.436428e-01	6.495935e-01	6.563654e-01	6.718691e-01
    20	3.199969e-01	3.851057e-01	7.781649e-02	5.379200e-02	3.006564e-05	4.808960e-02	2.080606e-05	5.056640e-02	4.130047e-05	1.019607e+00	5.166667e-02	4.358082e-05	3.849333e-02	2.499996e-05	1.323333e-02	1.001895e-05	6.010286e-02	1.430764e-02	4.577796e-02	1.319429e-02	1.677878e-02	6.476446e-03	-1.293021e-02	2.676741e-02	2.139877e-03	3.367020e-02	-2.510460e-02	6.393696e-02	4.866501e-01	1.796338e-02	-2.313701e-01	-7.726548e-01	5.227132e-01	6.090906e-01	1.310607e-03	1.078207e-01	-7.314066e-02	6.004143e-01	2.025433e-01	3.183247e-01	3.827793e-01	4.169228e-01	4.615813e-01	4.940432e-01	5.407476e-01	5.556998e-01	5.851050e-01	6.696005e-01	7.168625e-01	5.257316e-01	5.770731e-01	5.804101e-01	5.929981e-01	5.965964e-01	6.093044e-01	6.151356e-01	6.251036e-01	6.301770e-01	6.588974e-01	6.881068e-01
